Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,31273.735,3748.500,101209.500,1037.000,53.308,0.000,0.505,-16145.984,0.000,-2316.001,351.652,0.000,0.000,0.000,0.000,0.000,487.555,0,326.880,0.000,0.000,-523.582,1991.126,12.087,0.000,16145.984,0,0.000,0.000,467.284,5773.277,0.000,0,569.661,0.000,0.000,0.000,428.144,0.000,25.167,0.000,565.423,0.000,985.687,0.000,0.000,298.322,14278.693,0.000,0.000,30912.232,2715.908,-2316.001,2346.664,0.000,0.000,72.590,15619.001,1.943,0,2800.741,0.000,2444.883,0.087,139.646,2316.001,0.000,3631.651,3041.871,0,0.000,15.756,1133.779,2716.537,554.262,0.000,1931.006,59.621,-3.402,0.000,0.000,139.646,101.338,186.767,0.000,0.000,-13302.999,0.000,9131.288,0.000,0.000,2963.335,0.000,0.000,0.000,0.000,0.000,1601.063,0.000,0.000,3041.871,0.000,16145.984,137.349,5862.808,0.000,-13302.999,3043.859,564.913,0.000,0.000,0.038,6414.752,2786.623,0.000,0.000,0,0.000,85.148,1020.401,0.000,0.000,0.000,1308.980,0.000,0.000,-27.820,-587.792,0.000,0.000,0.000,463.750,0.000,6.623,420.556,0.000,487.555,0.000
B002,22070.537,3948.704,71425.685,732.000,56.558,0.000,0.420,-11337.256,0.000,-1634.568,248.286,0.000,0.000,0.000,0.000,0.000,350.327,0,230.801,0.000,0.000,-367.173,1383.234,5.041,0.000,11337.256,0,0.000,0.000,329.772,4074.323,0.000,0,397.734,0.000,0.000,0.000,302.294,0.000,27.541,0.000,390.849,0.000,695.702,0.000,0.000,218.005,10053.786,0.000,0.000,21741.369,1901.800,-1634.568,1648.018,0.000,0.000,51.240,10966.515,1.593,0,1961.625,0.000,1725.406,0.073,99.090,1634.568,0.000,2439.494,2140.446,0,0.000,16.635,800.132,1917.117,383.436,0.000,1333.941,42.085,-3.569,0.000,0.000,99.090,71.532,131.678,0.000,0.000,-9331.946,0.000,6444.143,0.000,0.000,2087.328,0.000,0.000,0.000,0.000,0.000,1129.904,0.000,0.000,2140.446,0.000,11337.256,96.930,4130.471,0.000,-9331.946,2018.684,388.719,0.000,0.000,0.032,4527.026,1954.919,0.000,0.000,0,0.000,93.637,720.119,0.000,0.000,0.000,935.163,0.000,0.000,-19.339,-420.810,0.000,0.000,0.000,327.278,0.000,2.762,296.795,0.000,350.327,0.000
B003,31273.736,3748.500,101209.500,1037.000,54.040,0.000,0.530,-16442.695,0.000,-2316.001,351.652,0.000,0.000,0.000,0.000,0.000,487.555,0,326.786,0.000,0.000,-536.891,2550.254,12.087,0.000,16442.695,0,0.000,0.000,467.284,5773.277,0.000,0,576.563,0.000,0.000,0.000,428.144,0.000,23.524,0.000,617.029,0.000,985.687,0.000,0.000,278.850,14374.537,0.000,0.000,31304.787,2817.853,-2316.001,2384.102,0.000,0.000,72.590,15902.669,1.561,0,2859.147,0.000,2444.883,0.087,139.646,2316.001,0.000,4002.908,3354.230,0,0.000,15.972,1133.779,2716.537,599.760,0.000,2486.546,59.621,-3.135,0.000,0.000,139.646,101.338,189.331,0.000,0.000,-13586.668,0.000,9131.288,0.000,0.000,3270.503,0.000,0.000,0.000,0.000,0.000,1601.063,0.000,0.000,3354.230,0.000,16442.695,137.349,6296.477,0.000,-13586.668,3411.560,616.463,0.000,0.000,0.038,6414.752,2845.412,0.000,0.000,0,0.000,79.590,1020.401,0.000,0.000,0.000,1272.007,0.000,0.000,-23.546,-591.348,0.000,0.000,0.000,463.750,0.000,6.623,420.556,0.000,487.555,0.000
B004,41047.560,7380.000,132840.000,1360.000,103.969,0.000,0.611,-22041.554,0.000,-3039.887,461.695,0.000,0.000,0.000,0.000,0.000,633.216,0,428.776,0.000,0.000,-722.432,3890.027,9.375,0.000,22041.554,0,0.000,0.000,613.322,7577.570,0.000,0,726.022,0.000,0.000,0.000,562.124,0.000,42.915,0.000,858.276,0.000,1293.828,0.000,0.000,329.687,19018.098,0.000,0.000,41692.868,3784.354,-3039.887,3195.248,0.000,0.000,95.200,21314.111,1.545,0,3837.806,0.000,3208.970,0.098,182.707,3039.887,0.000,5786.489,4627.074,0,0.000,30.730,1488.114,3565.522,827.354,0.000,3811.260,78.192,-5.010,0.000,0.000,182.707,132.913,236.074,0.000,0.000,-18274.224,0.000,11985.044,0.000,0.000,4510.764,0.000,0.000,0.000,0.000,0.000,2101.436,0.000,0.000,4627.074,0.000,22041.554,180.274,8574.160,0.000,-18274.224,5009.427,857.632,0.000,0.000,0.043,8419.522,3826.788,0.000,0.000,0,0.000,145.196,1339.302,0.000,0.000,0.000,1572.042,0.000,0.000,-30.939,-777.062,0.000,0.000,0.000,608.684,0.000,5.137,551.990,0.000,633.216,0.000
B005,16018.560,1440.000,51840.000,531.000,20.140,0.000,0.372,-8126.506,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.767,0,166.883,0.000,0.000,-264.738,1221.533,8.724,0.000,8126.506,0,0.000,0.000,239.345,2957.100,0.000,0,222.389,0.000,0.000,0.000,219.367,0.000,8.255,0.000,296.861,0.000,504.907,0.000,0.000,98.728,7260.158,0.000,0.000,15647.431,1402.292,-1186.298,1175.902,0.000,0.000,37.170,7860.094,1.018,0,1407.166,0.000,1252.281,0.062,72.715,1186.298,0.000,1883.579,1660.579,0,0.000,5.953,580.727,1391.423,288.001,0.000,1197.263,30.529,-1.673,0.000,0.000,72.715,51.896,71.190,0.000,0.000,-6673.796,0.000,4677.090,0.000,0.000,1596.043,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1660.579,0.000,8126.506,70.351,3077.736,0.000,-6673.796,1652.908,296.474,0.000,0.000,0.027,3285.667,1397.362,0.000,0.000,0,0.000,27.931,522.655,0.000,0.000,0.000,476.063,0.000,0.000,-8.837,-230.670,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.767,0.000
B006,24027.840,1440.000,77760.000,796.000,20.148,0.000,0.479,-12200.819,0.000,-1779.264,270.073,0.000,0.000,0.000,0.000,0.000,382.001,0,250.180,0.000,0.000,-397.920,1839.724,20.684,0.000,12200.819,0,0.000,0.000,359.018,4435.651,0.000,0,333.052,0.000,0.000,0.000,328.820,0.000,8.050,0.000,447.529,0.000,757.339,0.000,0.000,144.404,10900.477,0.000,0.000,23483.297,2105.610,-1779.264,1764.692,0.000,0.000,55.720,11801.177,1.474,0,2120.150,0.000,1878.421,0.081,108.482,1779.264,0.000,2866.247,2421.745,0,0.000,5.955,871.091,2087.135,433.025,0.000,1808.020,45.765,-1.722,0.000,0.000,108.482,77.792,106.828,0.000,0.000,-10021.913,0.000,7015.636,0.000,0.000,2361.858,0.000,0.000,0.000,0.000,0.000,1230.109,0.000,0.000,2421.745,0.000,12200.819,105.526,4624.010,0.000,-10021.913,2524.484,447.018,0.000,0.000,0.035,4928.501,2097.910,0.000,0.000,0,0.000,27.235,783.982,0.000,0.000,0.000,707.195,0.000,0.000,-13.211,-341.764,0.000,0.000,0.000,356.303,0.000,11.334,323.116,0.000,382.001,0.000
B007,24027.840,1440.000,77760.000,796.000,20.148,0.000,0.479,-12200.819,0.000,-1779.264,270.073,0.000,0.000,0.000,0.000,0.000,382.001,0,250.180,0.000,0.000,-397.920,1839.724,20.684,0.000,12200.819,0,0.000,0.000,359.018,4435.651,0.000,0,333.052,0.000,0.000,0.000,328.820,0.000,8.050,0.000,447.529,0.000,757.339,0.000,0.000,144.404,10900.477,0.000,0.000,23483.297,2105.610,-1779.264,1764.692,0.000,0.000,55.720,11801.177,1.474,0,2120.150,0.000,1878.421,0.081,108.482,1779.264,0.000,2866.247,2421.745,0,0.000,5.955,871.091,2087.135,433.025,0.000,1808.020,45.765,-1.722,0.000,0.000,108.482,77.792,106.828,0.000,0.000,-10021.913,0.000,7015.636,0.000,0.000,2361.858,0.000,0.000,0.000,0.000,0.000,1230.109,0.000,0.000,2421.745,0.000,12200.819,105.526,4624.010,0.000,-10021.913,2524.484,447.018,0.000,0.000,0.035,4928.501,2097.910,0.000,0.000,0,0.000,27.235,783.982,0.000,0.000,0.000,707.195,0.000,0.000,-13.211,-341.764,0.000,0.000,0.000,356.303,0.000,11.334,323.116,0.000,382.001,0.000
B008,16018.560,1440.000,51840.000,531.000,20.152,0.000,0.368,-8158.182,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.766,0,166.828,0.000,0.000,-266.095,1228.556,8.724,0.000,8158.182,0,0.000,0.000,239.345,2957.100,0.000,0,221.663,0.000,0.000,0.000,219.367,0.000,8.106,0.000,300.463,0.000,504.907,0.000,0.000,96.944,7270.605,0.000,0.000,15689.553,1407.629,-1186.298,1180.196,0.000,0.000,37.170,7890.370,1.121,0,1413.318,0.000,1252.281,0.062,72.715,1186.298,0.000,1921.921,1624.622,0,0.000,5.956,580.727,1391.423,290.494,0.000,1207.136,30.529,-1.717,0.000,0.000,72.715,51.896,71.230,0.000,0.000,-6704.072,0.000,4677.090,0.000,0.000,1584.287,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1624.622,0.000,8158.182,70.351,3097.014,0.000,-6704.072,1690.922,300.071,0.000,0.000,0.027,3285.667,1403.411,0.000,0.000,0,0.000,27.426,522.655,0.000,0.000,0.000,472.520,0.000,0.000,-8.964,-230.998,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.766,0.000
B009,16018.560,1440.000,51840.000,531.000,20.152,0.000,0.368,-8158.182,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.766,0,166.828,0.000,0.000,-266.095,1228.556,8.724,0.000,8158.182,0,0.000,0.000,239.345,2957.100,0.000,0,221.663,0.000,0.000,0.000,219.367,0.000,8.106,0.000,300.463,0.000,504.907,0.000,0.000,96.944,7270.605,0.000,0.000,15689.553,1407.629,-1186.298,1180.196,0.000,0.000,37.170,7890.370,1.121,0,1413.318,0.000,1252.281,0.062,72.715,1186.298,0.000,1921.921,1624.622,0,0.000,5.956,580.727,1391.423,290.494,0.000,1207.136,30.529,-1.717,0.000,0.000,72.715,51.896,71.230,0.000,0.000,-6704.072,0.000,4677.090,0.000,0.000,1584.287,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1624.622,0.000,8158.182,70.351,3097.014,0.000,-6704.072,1690.922,300.071,0.000,0.000,0.027,3285.667,1403.411,0.000,0.000,0,0.000,27.426,522.655,0.000,0.000,0.000,472.520,0.000,0.000,-8.964,-230.998,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.766,0.000
B010,16018.560,1440.000,51840.000,531.000,20.152,0.000,0.368,-8158.182,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.766,0,166.828,0.000,0.000,-266.095,1228.556,8.724,0.000,8158.182,0,0.000,0.000,239.345,2957.100,0.000,0,221.663,0.000,0.000,0.000,219.367,0.000,8.106,0.000,300.463,0.000,504.907,0.000,0.000,96.944,7270.605,0.000,0.000,15689.553,1407.629,-1186.298,1180.196,0.000,0.000,37.170,7890.370,1.121,0,1413.318,0.000,1252.281,0.062,72.715,1186.298,0.000,1921.921,1624.622,0,0.000,5.956,580.727,1391.423,290.494,0.000,1207.136,30.529,-1.717,0.000,0.000,72.715,51.896,71.230,0.000,0.000,-6704.072,0.000,4677.090,0.000,0.000,1584.287,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1624.622,0.000,8158.182,70.351,3097.014,0.000,-6704.072,1690.922,300.071,0.000,0.000,0.027,3285.667,1403.411,0.000,0.000,0,0.000,27.426,522.655,0.000,0.000,0.000,472.520,0.000,0.000,-8.964,-230.998,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.766,0.000
