Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,10424.578,3748.500,33736.500,345.000,52.048,0.000,0.292,-5716.198,0.000,-771.930,117.196,0.000,0.000,0.000,0.000,0.000,175.834,0,109.017,0.000,0.000,-186.500,802.985,0.733,0.000,5716.198,0,0.000,0.000,155.761,1924.426,0.000,0,185.537,0.000,0.000,0.000,142.689,0.000,22.678,0.000,206.352,0.000,328.549,0.000,0.000,89.605,4874.020,0.000,0.000,10766.052,936.381,-771.930,832.397,0.000,0.000,24.150,5526.410,1.042,0,997.860,0.000,814.961,0.048,47.652,771.930,0.000,1525.678,1116.433,0,0.000,15.384,377.926,905.512,198.042,0.000,783.463,19.835,-3.287,0.000,0.000,47.652,33.717,60.785,0.000,0.000,-4754.481,0.000,3043.763,0.000,0.000,1087.857,0.000,0.000,0.000,0.000,0.000,533.688,0.000,0.000,1116.433,0.000,5716.198,45.783,2095.181,0.000,-4754.481,1310.863,206.043,0.000,0.000,0.021,2138.251,996.037,0.000,0.000,0,0.000,76.727,340.134,0.000,0.000,0.000,416.032,0.000,0.000,-10.635,-214.815,0.000,0.000,0.000,154.583,0.000,0.401,140.185,0.000,175.834,0.000
B002,7356.846,3948.704,23808.562,244.000,55.782,0.000,0.248,-4091.936,0.000,-544.707,82.655,0.000,0.000,0.000,0.000,0.000,129.889,0,76.995,0.000,0.000,-133.566,578.931,0.129,0.000,4091.936,0,0.000,0.000,109.924,1358.108,0.000,0,128.454,0.000,0.000,0.000,100.635,0.000,24.619,0.000,149.654,0.000,231.846,0.000,0.000,64.958,3459.980,0.000,0.000,7681.805,667.911,-544.707,596.376,0.000,0.000,17.080,3954.880,0.905,0,715.557,0.000,575.135,0.041,34.176,544.707,0.000,1094.536,792.038,0,0.000,16.407,266.711,639.039,141.622,0.000,566.740,14.028,-3.489,0.000,0.000,34.176,23.837,43.290,0.000,0.000,-3410.173,0.000,2148.048,0.000,0.000,771.127,0.000,0.000,0.000,0.000,0.000,376.635,0.000,0.000,792.038,0.000,4091.936,32.310,1490.291,0.000,-3410.173,934.871,149.390,0.000,0.000,0.018,1509.009,714.481,0.000,0.000,0,0.000,83.702,240.040,0.000,0.000,0.000,295.425,0.000,0.000,-8.156,-159.665,0.000,0.000,0.000,109.093,0.000,0.071,98.932,0.000,129.889,0.000
B003,10424.579,3748.500,33736.500,345.000,53.306,0.000,0.305,-5717.285,0.000,-771.930,117.196,0.000,0.000,0.000,0.000,0.000,175.835,0,109.019,0.000,0.000,-187.315,871.097,0.733,0.000,5717.285,0,0.000,0.000,155.761,1924.426,0.000,0,187.338,0.000,0.000,0.000,142.689,0.000,22.670,0.000,226.224,0.000,328.549,0.000,0.000,89.576,4871.743,0.000,0.000,10764.863,977.798,-771.930,830.490,0.000,0.000,24.150,5526.965,0.760,0,997.490,0.000,814.961,0.048,47.652,771.930,0.000,1526.361,1218.557,0,0.000,15.756,377.926,905.512,217.887,0.000,851.563,19.835,-3.006,0.000,0.000,47.652,33.717,62.254,0.000,0.000,-4755.035,0.000,3043.763,0.000,0.000,1187.389,0.000,0.000,0.000,0.000,0.000,533.688,0.000,0.000,1218.557,0.000,5717.285,45.783,2238.719,0.000,-4755.035,1311.565,225.899,0.000,0.000,0.021,2138.251,995.949,0.000,0.000,0,0.000,76.701,340.134,0.000,0.000,0.000,415.982,0.000,0.000,-9.182,-214.797,0.000,0.000,0.000,154.583,0.000,0.401,140.185,0.000,175.835,0.000
B004,13682.520,7380.000,44280.000,454.000,106.261,0.000,0.359,-7574.059,0.000,-1013.379,153.962,0.000,0.000,0.000,0.000,0.000,225.998,0,143.218,0.000,0.000,-248.512,1323.265,0.240,0.000,7574.059,0,0.000,0.000,204.441,2525.857,0.000,0,239.400,0.000,0.000,0.000,187.453,0.000,46.264,0.000,311.723,0.000,431.286,0.000,0.000,118.472,6417.266,0.000,0.000,14217.323,1304.272,-1013.379,1100.074,0.000,0.000,31.780,7320.727,0.810,0,1322.177,0.000,1069.657,0.056,62.306,1013.379,0.000,2002.361,1655.528,0,0.000,31.407,496.038,1188.507,295.781,0.000,1300.256,26.102,-4.820,0.000,0.000,62.306,44.367,80.427,0.000,0.000,-6307.348,0.000,3995.015,0.000,0.000,1611.532,0.000,0.000,0.000,0.000,0.000,700.479,0.000,0.000,1655.528,0.000,7574.059,60.091,3013.835,0.000,-6307.348,1711.492,311.341,0.000,0.000,0.024,2806.507,1321.072,0.000,0.000,0,0.000,156.528,446.434,0.000,0.000,0.000,537.197,0.000,0.000,-12.154,-290.869,0.000,0.000,0.000,202.895,0.000,0.132,183.997,0.000,225.998,0.000
B005,5339.520,1440.000,17280.000,177.000,20.322,0.000,0.195,-2745.826,0.000,-395.374,59.935,0.000,0.000,0.000,0.000,0.000,97.714,0,55.699,0.000,0.000,-89.502,408.150,0.657,0.000,2745.826,0,0.000,0.000,79.782,985.700,0.000,0,73.783,0.000,0.000,0.000,72.973,0.000,8.718,0.000,103.755,0.000,168.275,0.000,0.000,34.751,2430.955,0.000,0.000,5274.496,475.026,-395.374,397.622,0.000,0.000,12.390,2654.640,0.552,0,474.303,0.000,417.427,0.032,25.017,395.374,0.000,635.377,557.956,0,0.000,6.006,193.576,463.808,99.534,0.000,401.717,10.176,-1.684,0.000,0.000,25.017,17.306,23.944,0.000,0.000,-2259.266,0.000,1559.030,0.000,0.000,543.212,0.000,0.000,0.000,0.000,0.000,273.358,0.000,0.000,557.956,0.000,2745.826,23.450,1055.092,0.000,-2259.266,552.307,103.547,0.000,0.000,0.014,1095.222,473.062,0.000,0.000,0,0.000,29.494,174.218,0.000,0.000,0.000,161.723,0.000,0.000,-3.318,-83.070,0.000,0.000,0.000,79.178,0.000,0.360,71.804,0.000,97.714,0.000
B006,8009.280,1440.000,25920.000,265.000,20.641,0.000,0.244,-4116.572,0.000,-593.008,89.953,0.000,0.000,0.000,0.000,0.000,138.874,0,83.453,0.000,0.000,-134.328,617.389,1.829,0.000,4116.572,0,0.000,0.000,119.673,1478.550,0.000,0,111.982,0.000,0.000,0.000,109.519,0.000,8.258,0.000,153.366,0.000,252.433,0.000,0.000,49.378,3646.145,0.000,0.000,7901.592,709.944,-593.008,595.836,0.000,0.000,18.550,3980.545,0.719,0,711.764,0.000,626.140,0.041,36.943,593.008,0.000,979.331,828.260,0,0.000,6.101,290.364,695.712,148.099,0.000,606.137,15.236,-1.700,0.000,0.000,36.943,25.896,36.480,0.000,0.000,-3387.537,0.000,2338.545,0.000,0.000,807.454,0.000,0.000,0.000,0.000,0.000,410.036,0.000,0.000,828.260,0.000,4116.572,35.175,1571.070,0.000,-3387.537,859.086,153.106,0.000,0.000,0.018,1642.834,709.176,0.000,0.000,0,0.000,27.939,261.327,0.000,0.000,0.000,237.638,0.000,0.000,-4.724,-120.245,0.000,0.000,0.000,118.768,0.000,1.002,107.705,0.000,138.874,0.000
B007,8009.280,1440.000,25920.000,265.000,20.641,0.000,0.244,-4116.572,0.000,-593.008,89.953,0.000,0.000,0.000,0.000,0.000,138.874,0,83.453,0.000,0.000,-134.328,617.389,1.829,0.000,4116.572,0,0.000,0.000,119.673,1478.550,0.000,0,111.982,0.000,0.000,0.000,109.519,0.000,8.258,0.000,153.366,0.000,252.433,0.000,0.000,49.378,3646.145,0.000,0.000,7901.592,709.944,-593.008,595.836,0.000,0.000,18.550,3980.545,0.719,0,711.764,0.000,626.140,0.041,36.943,593.008,0.000,979.331,828.260,0,0.000,6.101,290.364,695.712,148.099,0.000,606.137,15.236,-1.700,0.000,0.000,36.943,25.896,36.480,0.000,0.000,-3387.537,0.000,2338.545,0.000,0.000,807.454,0.000,0.000,0.000,0.000,0.000,410.036,0.000,0.000,828.260,0.000,4116.572,35.175,1571.070,0.000,-3387.537,859.086,153.106,0.000,0.000,0.018,1642.834,709.176,0.000,0.000,0,0.000,27.939,261.327,0.000,0.000,0.000,237.638,0.000,0.000,-4.724,-120.245,0.000,0.000,0.000,118.768,0.000,1.002,107.705,0.000,138.874,0.000
B008,5339.520,1440.000,17280.000,177.000,20.662,0.000,0.195,-2768.932,0.000,-395.374,59.935,0.000,0.000,0.000,0.000,0.000,97.714,0,55.684,0.000,0.000,-90.380,413.666,0.657,0.000,2768.932,0,0.000,0.000,79.782,985.700,0.000,0,74.243,0.000,0.000,0.000,72.973,0.000,8.413,0.000,104.325,0.000,168.275,0.000,0.000,33.537,2438.932,0.000,0.000,5305.577,477.156,-395.374,400.996,0.000,0.000,12.390,2676.866,0.559,0,478.906,0.000,417.427,0.032,25.017,395.374,0.000,663.987,562.218,0,0.000,6.107,193.576,463.808,100.529,0.000,405.853,10.176,-1.685,0.000,0.000,25.017,17.306,24.345,0.000,0.000,-2281.492,0.000,1559.030,0.000,0.000,547.938,0.000,0.000,0.000,0.000,0.000,273.358,0.000,0.000,562.218,0.000,2768.932,23.450,1061.606,0.000,-2281.492,580.670,104.116,0.000,0.000,0.014,1095.222,477.658,0.000,0.000,0,0.000,28.463,174.218,0.000,0.000,0.000,159.370,0.000,0.000,-3.311,-83.317,0.000,0.000,0.000,79.178,0.000,0.360,71.804,0.000,97.714,0.000
B009,5339.520,1440.000,17280.000,177.000,20.662,0.000,0.195,-2768.932,0.000,-395.374,59.935,0.000,0.000,0.000,0.000,0.000,97.714,0,55.684,0.000,0.000,-90.380,413.666,0.657,0.000,2768.932,0,0.000,0.000,79.782,985.700,0.000,0,74.243,0.000,0.000,0.000,72.973,0.000,8.413,0.000,104.325,0.000,168.275,0.000,0.000,33.537,2438.932,0.000,0.000,5305.577,477.156,-395.374,400.996,0.000,0.000,12.390,2676.866,0.559,0,478.906,0.000,417.427,0.032,25.017,395.374,0.000,663.987,562.218,0,0.000,6.107,193.576,463.808,100.529,0.000,405.853,10.176,-1.685,0.000,0.000,25.017,17.306,24.345,0.000,0.000,-2281.492,0.000,1559.030,0.000,0.000,547.938,0.000,0.000,0.000,0.000,0.000,273.358,0.000,0.000,562.218,0.000,2768.932,23.450,1061.606,0.000,-2281.492,580.670,104.116,0.000,0.000,0.014,1095.222,477.658,0.000,0.000,0,0.000,28.463,174.218,0.000,0.000,0.000,159.370,0.000,0.000,-3.311,-83.317,0.000,0.000,0.000,79.178,0.000,0.360,71.804,0.000,97.714,0.000
B010,5339.520,1440.000,17280.000,177.000,20.662,0.000,0.195,-2768.932,0.000,-395.374,59.935,0.000,0.000,0.000,0.000,0.000,97.714,0,55.684,0.000,0.000,-90.380,413.666,0.657,0.000,2768.932,0,0.000,0.000,79.782,985.700,0.000,0,74.243,0.000,0.000,0.000,72.973,0.000,8.413,0.000,104.325,0.000,168.275,0.000,0.000,33.537,2438.932,0.000,0.000,5305.577,477.156,-395.374,400.996,0.000,0.000,12.390,2676.866,0.559,0,478.906,0.000,417.427,0.032,25.017,395.374,0.000,663.987,562.218,0,0.000,6.107,193.576,463.808,100.529,0.000,405.853,10.176,-1.685,0.000,0.000,25.017,17.306,24.345,0.000,0.000,-2281.492,0.000,1559.030,0.000,0.000,547.938,0.000,0.000,0.000,0.000,0.000,273.358,0.000,0.000,562.218,0.000,2768.932,23.450,1061.606,0.000,-2281.492,580.670,104.116,0.000,0.000,0.014,1095.222,477.658,0.000,0.000,0,0.000,28.463,174.218,0.000,0.000,0.000,159.370,0.000,0.000,-3.311,-83.317,0.000,0.000,0.000,79.178,0.000,0.360,71.804,0.000,97.714,0.000
