Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,20849.157,3748.500,67473.000,691.000,52.817,0.000,0.404,-10992.293,0.000,-1544.043,234.429,0.000,0.000,0.000,0.000,0.000,331.904,0,217.947,0.000,0.000,-357.294,1411.522,4.762,0.000,10992.293,0,0.000,0.000,311.523,3848.851,0.000,0,375.484,0.000,0.000,0.000,285.422,0.000,24.018,0.000,379.841,0.000,657.139,0.000,0.000,189.801,9596.185,0.000,0.000,20920.382,1816.452,-1544.043,1598.590,0.000,0.000,48.370,10631.549,1.609,0,1910.069,0.000,1629.922,0.070,93.652,1544.043,0.000,2654.151,2043.111,0,0.000,15.611,755.853,1811.024,370.196,0.000,1366.053,39.728,-3.450,0.000,0.000,93.652,67.538,123.364,0.000,0.000,-9087.506,0.000,6087.525,0.000,0.000,1991.974,0.000,0.000,0.000,0.000,0.000,1067.376,0.000,0.000,2043.111,0.000,10992.293,91.566,3929.911,0.000,-9087.506,2252.108,379.433,0.000,0.000,0.030,4276.501,1903.629,0.000,0.000,0,0.000,81.261,680.268,0.000,0.000,0.000,854.513,0.000,0.000,-19.615,-402.043,0.000,0.000,0.000,309.167,0.000,2.609,280.371,0.000,331.904,0.000
B002,14713.691,3948.704,47617.123,488.000,56.578,0.000,0.348,-7770.952,0.000,-1089.827,165.547,0.000,0.000,0.000,0.000,0.000,240.352,0,153.915,0.000,0.000,-252.449,997.586,1.809,0.000,7770.952,0,0.000,0.000,219.848,2716.216,0.000,0,264.902,0.000,0.000,0.000,201.557,0.000,26.088,0.000,279.012,0.000,463.733,0.000,0.000,137.670,6775.759,0.000,0.000,14787.063,1301.424,-1089.827,1130.539,0.000,0.000,34.160,7515.044,1.226,0,1349.125,0.000,1150.270,0.059,66.635,1089.827,0.000,1836.729,1514.561,0,0.000,16.641,533.421,1278.078,270.814,0.000,974.847,28.057,-3.459,0.000,0.000,66.635,47.695,87.816,0.000,0.000,-6425.217,0.000,4296.096,0.000,0.000,1476.482,0.000,0.000,0.000,0.000,0.000,753.270,0.000,0.000,1514.561,0.000,7770.952,64.620,2875.270,0.000,-6425.217,1545.811,278.643,0.000,0.000,0.025,3018.017,1346.031,0.000,0.000,0,0.000,88.698,480.079,0.000,0.000,0.000,607.973,0.000,0.000,-13.993,-290.918,0.000,0.000,0.000,218.186,0.000,0.991,197.863,0.000,240.352,0.000
B003,20849.157,3748.500,67473.000,691.000,53.679,0.000,0.430,-11121.306,0.000,-1544.043,234.429,0.000,0.000,0.000,0.000,0.000,331.904,0,217.912,0.000,0.000,-363.599,1822.121,4.762,0.000,11121.306,0,0.000,0.000,311.523,3848.851,0.000,0,380.625,0.000,0.000,0.000,285.422,0.000,22.962,0.000,426.634,0.000,657.139,0.000,0.000,181.458,9636.027,0.000,0.000,21089.237,1905.844,-1544.043,1613.483,0.000,0.000,48.370,10754.622,1.184,0,1935.018,0.000,1629.922,0.070,93.652,1544.043,0.000,2816.296,2307.310,0,0.000,15.866,755.853,1811.024,412.563,0.000,1784.661,39.728,-3.084,0.000,0.000,93.652,67.538,125.379,0.000,0.000,-9210.579,0.000,6087.526,0.000,0.000,2249.289,0.000,0.000,0.000,0.000,0.000,1067.376,0.000,0.000,2307.310,0.000,11121.306,91.566,4296.536,0.000,-9210.579,2412.721,426.182,0.000,0.000,0.030,4276.501,1929.002,0.000,0.000,0,0.000,77.689,680.268,0.000,0.000,0.000,838.726,0.000,0.000,-16.388,-403.576,0.000,0.000,0.000,309.167,0.000,2.609,280.371,0.000,331.904,0.000
B004,27365.040,7380.000,88560.000,907.000,104.036,0.000,0.499,-14822.845,0.000,-2026.539,307.751,0.000,0.000,0.000,0.000,0.000,429.709,0,285.983,0.000,0.000,-486.056,2604.044,3.365,0.000,14822.845,0,0.000,0.000,408.882,5051.713,0.000,0,482.094,0.000,0.000,0.000,374.694,0.000,43.602,0.000,584.662,0.000,862.542,0.000,0.000,223.310,12721.478,0.000,0.000,27974.032,2546.977,-2026.539,2149.824,0.000,0.000,63.490,14331.834,1.217,0,2581.625,0.000,2139.313,0.079,122.510,2026.539,0.000,3916.617,3147.551,0,0.000,30.749,992.076,2377.015,562.804,0.000,2544.377,52.147,-4.955,0.000,0.000,122.510,88.629,157.484,0.000,0.000,-12305.295,0.000,7990.029,0.000,0.000,3067.875,0.000,0.000,0.000,0.000,0.000,1400.957,0.000,0.000,3147.551,0.000,14822.845,120.183,5803.581,0.000,-12305.295,3382.440,584.136,0.000,0.000,0.035,5613.015,2576.963,0.000,0.000,0,0.000,147.521,892.868,0.000,0.000,0.000,1053.170,0.000,0.000,-21.838,-534.177,0.000,0.000,0.000,405.789,0.000,1.844,367.993,0.000,429.709,0.000
B005,10679.040,1440.000,34560.000,354.000,20.240,0.000,0.296,-5447.210,0.000,-790.919,120.221,0.000,0.000,0.000,0.000,0.000,179.656,0,111.268,0.000,0.000,-177.557,814.793,3.565,0.000,5447.210,0,0.000,0.000,159.564,1971.400,0.000,0,148.569,0.000,0.000,0.000,146.372,0.000,8.298,0.000,201.877,0.000,336.631,0.000,0.000,66.160,4848.081,0.000,0.000,10474.947,939.344,-790.919,788.329,0.000,0.000,24.780,5268.051,0.668,0,941.691,0.000,834.854,0.048,48.868,790.919,0.000,1273.126,1162.789,0,0.000,5.982,387.151,927.616,193.768,0.000,798.114,20.353,-1.602,0.000,0.000,48.868,34.591,47.694,0.000,0.000,-4477.132,0.000,3118.060,0.000,0.000,1116.615,0.000,0.000,0.000,0.000,0.000,546.715,0.000,0.000,1162.789,0.000,5447.210,46.901,2071.250,0.000,-4477.132,1116.136,201.570,0.000,0.000,0.021,2190.445,937.410,0.000,0.000,0,0.000,28.076,348.436,0.000,0.000,0.000,317.758,0.000,0.000,-6.207,-156.989,0.000,0.000,0.000,158.357,0.000,1.953,143.607,0.000,179.656,0.000
B006,16018.560,1440.000,51840.000,531.000,20.620,0.000,0.368,-8158.755,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.766,0,166.828,0.000,0.000,-266.122,1228.556,8.724,0.000,8158.755,0,0.000,0.000,239.345,2957.100,0.000,0,225.217,0.000,0.000,0.000,219.367,0.000,8.104,0.000,300.222,0.000,504.907,0.000,0.000,96.913,7270.775,0.000,0.000,15690.296,1408.217,-1186.298,1180.266,0.000,0.000,37.170,7890.918,1.118,0,1413.418,0.000,1252.281,0.062,72.715,1186.298,0.000,1922.608,1626.157,0,0.000,6.095,580.727,1391.423,290.768,0.000,1206.990,30.529,-1.715,0.000,0.000,72.715,51.896,72.886,0.000,0.000,-6704.620,0.000,4677.090,0.000,0.000,1585.780,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1626.157,0.000,8158.755,70.351,3099.136,0.000,-6704.620,1691.604,299.829,0.000,0.000,0.027,3285.667,1403.514,0.000,0.000,0,0.000,27.418,522.655,0.000,0.000,0.000,472.460,0.000,0.000,-8.973,-231.004,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.766,0.000
B007,16018.560,1440.000,51840.000,531.000,20.620,0.000,0.368,-8158.755,0.000,-1186.298,180.175,0.000,0.000,0.000,0.000,0.000,260.766,0,166.828,0.000,0.000,-266.122,1228.556,8.724,0.000,8158.755,0,0.000,0.000,239.345,2957.100,0.000,0,225.217,0.000,0.000,0.000,219.367,0.000,8.104,0.000,300.222,0.000,504.907,0.000,0.000,96.913,7270.775,0.000,0.000,15690.296,1408.217,-1186.298,1180.266,0.000,0.000,37.170,7890.918,1.118,0,1413.418,0.000,1252.281,0.062,72.715,1186.298,0.000,1922.608,1626.157,0,0.000,6.095,580.727,1391.423,290.768,0.000,1206.990,30.529,-1.715,0.000,0.000,72.715,51.896,72.886,0.000,0.000,-6704.620,0.000,4677.090,0.000,0.000,1585.780,0.000,0.000,0.000,0.000,0.000,820.073,0.000,0.000,1626.157,0.000,8158.755,70.351,3099.136,0.000,-6704.620,1691.604,299.829,0.000,0.000,0.027,3285.667,1403.514,0.000,0.000,0,0.000,27.418,522.655,0.000,0.000,0.000,472.460,0.000,0.000,-8.973,-231.004,0.000,0.000,0.000,237.535,0.000,4.780,215.411,0.000,260.766,0.000
B008,10679.040,1440.000,34560.000,354.000,20.630,0.000,0.287,-5463.500,0.000,-790.919,120.221,0.000,0.000,0.000,0.000,0.000,179.656,0,111.246,0.000,0.000,-178.234,821.111,3.565,0.000,5463.500,0,0.000,0.000,159.564,1971.400,0.000,0,149.722,0.000,0.000,0.000,146.372,0.000,8.186,0.000,202.242,0.000,336.631,0.000,0.000,65.267,4853.614,0.000,0.000,10496.770,942.670,-790.919,790.581,0.000,0.000,24.780,5283.558,0.859,0,944.973,0.000,834.854,0.048,48.868,790.919,0.000,1292.833,1094.104,0,0.000,6.098,387.151,927.616,195.634,0.000,806.421,20.353,-1.708,0.000,0.000,48.868,34.591,48.614,0.000,0.000,-4492.639,0.000,3118.060,0.000,0.000,1066.776,0.000,0.000,0.000,0.000,0.000,546.715,0.000,0.000,1094.104,0.000,5463.500,46.901,2080.272,0.000,-4492.639,1135.675,201.935,0.000,0.000,0.021,2190.445,940.501,0.000,0.000,0,0.000,27.697,348.436,0.000,0.000,0.000,315.998,0.000,0.000,-6.140,-157.158,0.000,0.000,0.000,158.357,0.000,1.953,143.607,0.000,179.656,0.000
B009,10679.040,1440.000,34560.000,354.000,20.630,0.000,0.287,-5463.500,0.000,-790.919,120.221,0.000,0.000,0.000,0.000,0.000,179.656,0,111.246,0.000,0.000,-178.234,821.111,3.565,0.000,5463.500,0,0.000,0.000,159.564,1971.400,0.000,0,149.722,0.000,0.000,0.000,146.372,0.000,8.186,0.000,202.242,0.000,336.631,0.000,0.000,65.267,4853.614,0.000,0.000,10496.770,942.670,-790.919,790.581,0.000,0.000,24.780,5283.558,0.859,0,944.973,0.000,834.854,0.048,48.868,790.919,0.000,1292.833,1094.104,0,0.000,6.098,387.151,927.616,195.634,0.000,806.421,20.353,-1.708,0.000,0.000,48.868,34.591,48.614,0.000,0.000,-4492.639,0.000,3118.060,0.000,0.000,1066.776,0.000,0.000,0.000,0.000,0.000,546.715,0.000,0.000,1094.104,0.000,5463.500,46.901,2080.272,0.000,-4492.639,1135.675,201.935,0.000,0.000,0.021,2190.445,940.501,0.000,0.000,0,0.000,27.697,348.436,0.000,0.000,0.000,315.998,0.000,0.000,-6.140,-157.158,0.000,0.000,0.000,158.357,0.000,1.953,143.607,0.000,179.656,0.000
B010,10679.040,1440.000,34560.000,354.000,20.630,0.000,0.287,-5463.500,0.000,-790.919,120.221,0.000,0.000,0.000,0.000,0.000,179.656,0,111.246,0.000,0.000,-178.234,821.111,3.565,0.000,5463.500,0,0.000,0.000,159.564,1971.400,0.000,0,149.722,0.000,0.000,0.000,146.372,0.000,8.186,0.000,202.242,0.000,336.631,0.000,0.000,65.267,4853.614,0.000,0.000,10496.770,942.670,-790.919,790.581,0.000,0.000,24.780,5283.558,0.859,0,944.973,0.000,834.854,0.048,48.868,790.919,0.000,1292.833,1094.104,0,0.000,6.098,387.151,927.616,195.634,0.000,806.421,20.353,-1.708,0.000,0.000,48.868,34.591,48.614,0.000,0.000,-4492.639,0.000,3118.060,0.000,0.000,1066.776,0.000,0.000,0.000,0.000,0.000,546.715,0.000,0.000,1094.104,0.000,5463.500,46.901,2080.272,0.000,-4492.639,1135.675,201.935,0.000,0.000,0.021,2190.445,940.501,0.000,0.000,0,0.000,27.697,348.436,0.000,0.000,0.000,315.998,0.000,0.000,-6.140,-157.158,0.000,0.000,0.000,158.357,0.000,1.953,143.607,0.000,179.656,0.000
